rcdts,school_name,disciplinary_action_ratio_RAW_values,violent_incidents_ratio_RAW_values,disciplinary_action_ratio_TALLY_values,violent_incidents_ratio_TALLY_values
470980050262005,Franklin Elem School,0.04699738903394256,1.4444444444444444,93,69
470980050262007,Jefferson Elem School,0.03803131991051454,4.647058823529412,95,0
480720620022001,Pleasant Valley Primary School,0.05357142857142857,0.8333333333333334,92,83
480720620022003,Pleasant Valley Intermediate S,0.17679558011049723,0.21875,73,96
480720630021001,Norwood Elem School,0.24822695035460993,0.5428571428571428,62,89
480720630022002,Norwood Primary School,0.09433962264150944,0.0,86,100
480720680022002,Oak Grove School,0.05925925925925926,0.5,91,90
480720690022001,Pleasant Hill Elem School,0.10909090909090909,1.3888888888888888,83,71
480720700022001,Monroe Elem School,0.04411764705882353,0.5,94,90
480721500251015,Reservoir Gifted School,0.023972602739726026,1.5714285714285714,97,67
480722650260001,Farmington Central High Sch,0.09944751381215469,0.2777777777777778,85,95
480722650261001,Farmington Central Jr High Sch,0.108,0.07407407407407407,84,99
480723090260003,Brimfield High School,0.014925373134328358,0.0,98,100
480723090262002,Brimfield Grade School,0.04060913705583756,0.3125,94,94
480723100160001,Limestone Community High Schoo,0.1404303510758777,0.5887096774193549,79,88
480723210261001,Mossville Jr High,0.0962566844919786,0.0,85,100
480723210261002,Chillicothe Jr High,0.1087866108786611,0.23076923076923078,83,96
480723210262004,South Elementary School,0.007075471698113208,1.0,99,79
480723210262005,Mossville Elementary School,0.02444987775061125,0.0,97,100
480723210262008,Chillicothe Elementary Center,0.0440251572327044,1.1428571428571428,94,76
480723230261001,Dunlap Middle School,0.06285714285714286,0.24242424242424243,91,95
480723230261002,Dunlap Valley Middle School,0.024096385542168676,0.21428571428571427,97,96
480723230262002,Dunlap Grade School,0.007936507936507936,0.0,99,100
480723230262004,Banner Elementary School,0.015306122448979591,0.6666666666666666,98,86
480723250262005,Peoria Heights Grade School,0.09504950495049505,1.3958333333333333,86,70
480723260262004,Princeville Elem School,0.0,,100,
480723270260008,Illini Bluffs High School,0.08163265306122448,0.05,88,99
480723280032001,Hollis Consolidated Grade Sch,0.027777777777777776,0.0,96,100
500820090260003,Lebanon High School,0.0,,100,
500821040022001,Dawn Elser Elementary School,0.0026595744680851063,0.0,100,100
500821150022001,Whiteside Elem School,0.15572519083969466,1.0294117647058822,76,78
500821300042001,Smithton Elem School,0.029574861367837338,0.5625,96,88
500821890221007,Mason/Clark Middle Sch,0.41408934707903783,1.1244813278008299,36,76
500822030170001,O Fallon High School,0.15139442231075698,0.25,77,95
51084003A262004,Rochester Intermediate School,0.05084745762711865,1.2380952380952381,93,74
510840110260001,Pawnee Jr/Sr High Sch,0.07569721115537849,1.0,89,79
530601260260001,Havana High School,0.11904761904761904,0.23333333333333334,82,95
530601260261001,Havana Jr High School,0.022727272727272728,0.0,97,100
530601260262002,New Central Elem School,0.0,,100,
530900500022001,J L Hensey Elem School,0.012,0.3333333333333333,99,93
530900500022002,Beverly Manor Elementary Schoo,0.10493827160493827,0.8235294117647058,84,83
530900510022001,Central Intermediate Sch,0.03885135135135135,0.21739130434782608,94,96
530900510022004,Central Primary Sch,0.02666666666666667,0.1111111111111111,96,98
530900850022001,Robein Elem School,0.02666666666666667,0.75,96,84
530900860021011,Central Jr High School,0.16587677725118483,0.04285714285714286,75,100
530900860022001,Armstrong-Oakview Elem School,0.034013605442176874,0.0,95,100
530900860022002,P L Bolin Elem School,0.06299212598425197,0.0,91,100
530900860022003,Glendale Elem School,0.08823529411764706,0.06666666666666667,87,99
530900860022005,Lincoln Elem School,0.029411764705882353,0.0,96,100
530900860022008,Don D Shute Elem School,0.04048582995951417,1.5,94,68
530900860022010,Woodrow Wilson Elem School,0.006493506493506494,0.0,99,100
530901020022002,Marquette Elem School,0.0182648401826484,0.0,98,100
530901020022003,Georgetown Middle School,0.07659574468085106,0.0,89,100
530901080022014,Dirksen Elementary School,0.011299435028248588,0.0,99,100
530903030160002,Pekin Community High School,0.2004703115814227,0.21407624633431085,69,96
530907020262003,Tremont Elem School,0.00980392156862745,0.0,99,100
530907030260001,Delavan High School,0.08088235294117647,0.45454545454545453,88,91
530907030261001,Delavan Jr High School,0.1694915254237288,0.3,74,94
530907030262001,Delavan Elementary School,0.057971014492753624,0.16666666666666666,91,97
530907090260006,Morton High School,0.04400749063670412,0.44680851063829785,94,91
530907090261005,Morton Jr High School,0.050100200400801605,0.56,93,88
530907090262001,Grundy Elem School,0.004576659038901602,0.5,100,90
530907090262002,Jefferson Elem School,0.02556818181818182,0.3333333333333333,96,93
530907090262003,Lincoln Elem School,0.0038910505836575876,1.0,100,79
530907090262004,Lettie Brown Elementary School,0.002898550724637681,2.0,100,57
531020010042001,Metamora Grade School,0.03592814371257485,1.0333333333333334,95,78
531020060260001,Fieldcrest High School,0.17153284671532848,0.02127659574468085,74,100
531020060262002,Fieldcrest Intermediate School,0.02072538860103627,0.75,97,84
531020210260001,Lowpoint-Washburn Jr Sr High S,0.03896103896103896,0.0,94,100
531020210262003,Lowpoint-Washburn Elem School,0.036585365853658534,2.1666666666666665,95,54
531021220170001,Metamora High School,0.07119021134593993,0.125,89,98
560990860052011,A O Marshall Elem School,0.06635071090047394,0.5,90,90
560992020221005,Drauden Point Middle School,0.1025260029717682,0.30434782608695654,84,94
560992020222005,Grand Prairie Elem School,0.03925233644859813,0.6190476190476191,94,87
560992040170003,Joliet West High School,0.1785063752276867,0.45408163265306123,73,91
